number of threads, avg. time per generation, avg. time per cell, gen per second, cell per second, total execution time
1, 4296.03, 3625.35, 0.174499, 0.174499, 28653.5
2, 2491.21, 1818.57, 0.254801, 0.509602, 19623.1
3, 2068.58, 27.5595, 0.286642, 43.3976, 17443.3
4, 1586.77, 912.107, 0.328453, 1.31381, 15222.9
5, 1408.18, 729.916, 0.353362, 1.76681, 14149.8
6, 1340.14, 61.9274, 0.358454, 22.4392, 13948.8
7, 1267.54, 30.2207, 0.368391, 50.2486, 13572.5
8, 1133.06, 457.989, 0.389916, 3.11933, 12823.3
9, 1152.92, 217.258, 0.388836, 6.6102, 12858.9
10, 1048.13, 367.104, 0.402102, 4.02102, 12434.6
11, 1078.2, 60.7258, 0.393873, 25.4442, 12694.4
12, 1080.45, 33.3727, 0.396403, 48.3612, 12613.4
13, 1006.21, 33.3371, 0.403791, 49.3433, 12382.6
14, 1002.06, 176.613, 0.407178, 8.55074, 12279.6
15, 1057.46, 56.6045, 0.398113, 32.4064, 12559.3
16, 969.931, 57.862, 0.410696, 27.5166, 12174.5
17, 1011.73, 179.761, 0.403546, 8.55518, 12390.2
18, 968.982, 163.483, 0.408691, 9.31814, 12234.2
19, 922.816, 62.2541, 0.426939, 26.4702, 11711.3
20, 860.761, 185.591, 0.430882, 8.61763, 11604.1
21, 983.945, 183.492, 0.412967, 9.99379, 12107.5
22, 915.004, 39.269, 0.42346, 45.8183, 11807.5
23, 905.062, 48.8223, 0.429536, 36.9401, 11640.5
24, 864.507, 37.1039, 0.430645, 46.768, 11610.5
25, 865.815, 160.801, 0.43028, 10.757, 11620.3
26, 895.016, 112.086, 0.425051, 15.8119, 11763.3
27, 893.244, 28.6928, 0.425933, 73.3457, 11738.9
28, 922.011, 112.883, 0.418204, 17.8991, 11955.9
29, 838.87, 83.6819, 0.439711, 20.1388, 11371.1
30, 926.819, 39.184, 0.422011, 64.9053, 11848
31, 883.701, 60.6995, 0.430816, 37.1363, 11605.9
32, 826.795, 38.4246, 0.441765, 47.0038, 11318.2
33, 920.454, 61.3561, 0.419007, 44.6662, 11933
34, 846.71, 49.8538, 0.438947, 38.1006, 11390.9
35, 913.653, 42.3751, 0.419483, 64.936, 11919.4
36, 912.865, 121.672, 0.429981, 20.2951, 11628.4
37, 1090.62, 107.74, 0.392605, 18.531, 12735.4
38, 999.427, 11.0296, 0.406242, 328.081, 12307.9
39, 852.898, 28.0986, 0.441317, 77.0539, 11329.7
40, 971.429, 131.204, 0.413268, 16.5307, 12098.7
41, 987.515, 117.807, 0.411184, 16.4473, 12160
42, 1084.2, 58.3464, 0.393795, 37.8043, 12697
43, 848.553, 51.4786, 0.435803, 41.837, 11473.1
44, 893.629, 60.3658, 0.430079, 37.4169, 11625.8
45, 944.473, 77.3206, 0.417873, 36.355, 11965.4
46, 1068.82, 69.0216, 0.397882, 35.4911, 12566.5
47, 941.325, 59.4452, 0.416235, 37.1282, 12012.4
48, 999.33, 40.3215, 0.409483, 58.0647, 12210.5
49, 919.243, 40.5069, 0.421857, 59.8193, 11852.4
50, 922.171, 114.19, 0.424249, 21.2124, 11785.5
51, 896.65, 115.696, 0.423842, 21.1921, 11796.8
52, 1001.35, 118.624, 0.408277, 20.4139, 12246.6
53, 986.231, 35.2784, 0.410412, 72.807, 12182.9
54, 1068.52, 36.0741, 0.39602, 70.2539, 12625.6
55, 830.354, 36.7516, 0.439881, 78.0349, 11366.7
56, 1184.92, 66.5471, 0.381676, 34.8088, 13100.1
57, 1055.35, 67.9243, 0.402059, 36.6678, 12436
58, 935.406, 73.9436, 0.42281, 38.5603, 11825.6
59, 862.145, 42.8219, 0.424798, 67.7978, 11770.3
60, 847.175, 42.0082, 0.43081, 68.7573, 11606
61, 823.943, 42.4422, 0.455351, 72.674, 10980.5
62, 1012.4, 42.637, 0.406161, 64.8234, 12310.4
63, 954.436, 61.8632, 0.412677, 46.4674, 12116
64, 809.036, 61.157, 0.439435, 49.4804, 11378.2
